,countries,RI_2020
68,India,6400116.424
30,China,3181941.59
10,Bangladesh,1404141.055
104,Myanmar,880228.5708
19,Brazil,595564.228
114,Pakistan,388128.7614
111,Nigeria,288377.2035
106,Nepal,154291.6573
31,Colombia,124277.0474
41,Ecuador,112572.8006
