,countries,MZ_2020
30,China,7152399.178
99,Mexico,1457880.983
5,Argentina,1124995.539
124,Romania,846153.9845
68,India,806022.6117
66,Hungary,631122.9631
111,Nigeria,521880.7638
133,South Africa,458197.9968
19,Brazil,447327.3375
152,Ukraine,420725.0632
