,countries,WH_2080
30,China,7174654.886
51,France,3165244.76
125,Russia,2045516.991
114,Pakistan,1731481.724
68,India,1600481.97
5,Argentina,1430202.424
149,Turkey,1411814.322
70,Iran,1174062.619
7,Australia,974539.0109
42,Egypt,731844.3894
