,countries,WH_2020
68,India,2068460.085
125,Russia,1777333.851
51,France,1129150.411
114,Pakistan,664746.5997
152,Ukraine,632562.924
5,Argentina,514224.8685
124,Romania,340388.663
66,Hungary,266944.4399
7,Australia,252347.4102
79,Kazakhstan,243309.5948
