,countries,MZ_2080
30,China,6809668.936
5,Argentina,1846457.474
99,Mexico,1499131.999
124,Romania,1353539.459
42,Egypt,1319104.97
68,India,1259962.751
66,Hungary,1009567.821
133,South Africa,921171.5056
111,Nigeria,779129.2987
47,Ethiopia,471759.3023
