,countries,RI_2080
30,China,7682989.56
68,India,4240874.21
114,Pakistan,704212.4039
42,Egypt,688155.5415
145,Thailand,616297.4982
10,Bangladesh,589849.2925
77,Japan,396300.138
19,Brazil,379450.7792
104,Myanmar,369764.9875
111,Nigeria,282197.9812
